window_id,start_frame,end_frame,emotion_mode,emotion_mean,gaze_x_mean,gaze_x_std,gaze_y_mean,gaze_y_std,AU_0_mean,AU_0_std,AU_0_max,AU_1_mean,AU_1_std,AU_1_max,AU_2_mean,AU_2_std,AU_2_max,AU_3_mean,AU_3_std,AU_3_max,AU_4_mean,AU_4_std,AU_4_max,AU_5_mean,AU_5_std,AU_5_max,AU_6_mean,AU_6_std,AU_6_max,AU_7_mean,AU_7_std,AU_7_max
0,0,59,0,3.15,-0.04760580711687601,0.06004904266501122,0.006280753722724834,0.09132982382799423,0.00036411139202148664,0.001539763079101287,0.0093195280060172,0.0007321786148774313,0.00282042552966468,0.0153756067156791,0.0,0.0,0.0,9.761394661229998e-05,0.0006153541411638627,0.0047421962954103,0.0,0.0,0.0,0.0042996897100237895,0.009913336404929037,0.0595806390047073,0.03217364564413094,0.10417352567966202,0.7056487798690796,0.0031171308312574445,0.005141108639511308,0.0362610593438148
1,60,119,7,7.0,-0.03495480120182033,0.024083487366644736,0.0798709468101151,0.05876808867234865,0.0006476743950770349,0.0014914287911830524,0.0065286015160381,0.0006590581440832367,0.0015303682098416883,0.0077365422621369,0.0,0.0,0.0,0.0004921053065875719,0.001306140463397908,0.0073246704414486,0.0,0.0,0.0,0.023034557591502823,0.01394371895349671,0.0805392935872078,0.07205856709430611,0.07984760193659855,0.423525333404541,0.0052050213552622925,0.002747178823097635,0.0169972125440835
2,120,179,7,5.6,-0.036575847802062786,0.04026182708883552,0.040743744509139396,0.0656910749515716,0.0003540810653551733,0.0011127322263644666,0.0054472857154905,0.00028576147572796466,0.0009619763194146061,0.0057169310748577,0.0,0.0,0.0,0.0005747477482751982,0.0017257804492806297,0.0091268634423613,0.0,0.0,0.0,0.019487968825463463,0.023860165079858414,0.106800690293312,0.07531864230210578,0.1022915735544965,0.4702784121036529,0.003909413528648005,0.002748588210391167,0.0105515969917178
3,180,239,7,7.0,-0.03923177716011798,0.021159722427873656,0.07981130265009896,0.038911078741286485,0.00010701525510133165,0.0007663130170348071,0.0059342100284993,0.00011170033831149334,0.000865227100092296,0.0067020202986896,0.0,0.0,0.0,0.008254186479310461,0.00999703651254187,0.0384523309767246,0.0,0.0,0.0,0.20055642553294692,0.19242449302909162,0.6904370784759521,0.06248563121383383,0.06694846344411452,0.355694830417633,0.008344639612672185,0.005719694154708972,0.0268799122422933
4,240,299,7,7.0,0.00677149028827747,0.0426761004347797,0.10439743169893818,0.14926756284290724,2.801795587098667e-05,0.00015752971503976617,0.0010621361434459,6.32131268503e-06,4.896467751058176e-05,0.0003792787611018,0.0,0.0,0.0,0.0018099220738652523,0.002948191577666834,0.0109821483492851,0.0,0.0,0.0,0.0468779447333266,0.040873125625600755,0.1629129648208618,0.011638618709427296,0.008663456420240034,0.0390201993286609,0.00491598542236408,0.0036562177452284014,0.0155542474240064
5,300,359,7,6.766666666666667,-0.01796344475199777,0.034765119255489245,0.1088825466111302,0.07557148538456027,0.00018505162879591333,0.0008228361997876691,0.0059493416920304,0.00034060918478643666,0.0010349801185192736,0.0057289679534733,2.5892531266435e-05,0.0002005626847721152,0.0015535518759861,0.0011535062564599222,0.003030168013849892,0.0216436218470335,0.0,0.0,0.0,0.025123296728512847,0.025451065457488663,0.188788890838623,0.02643344227690245,0.0695406345986146,0.5068731307983398,0.002358191527309779,0.0018563460702104493,0.0098426938056945
6,360,419,7,6.8,-0.09874243916322785,0.06751647585279426,0.13289547134190793,0.05559365159801276,0.0058981587077444626,0.008476928703901066,0.0318496488034725,0.0010640696958337892,0.002494274161446449,0.0122486613690853,0.0022277420720153264,0.007759418897053859,0.0547804608941078,0.011463211820035181,0.013908930032945856,0.0637305453419685,0.0004869527261083283,0.0022549753447697273,0.0141160460188984,0.18788100437571603,0.17371259035459083,0.707969069480896,0.6207015618681908,0.26685477467424884,0.9882550835609436,0.05699326585745434,0.15838456538726067,0.9129122495651244
