frame,emotion,gaze_x,gaze_y,AU_0,AU_1,AU_2,AU_3,AU_4,AU_5,AU_6,AU_7
15,7,-0.0220693815499544,-0.0561887100338935,0.0,0.0,0.0,0.0,0.0,0.0,0.005139637738466263,0.0007936094771139324
16,7,-0.0283777564764022,-0.037131130695343,0.0,0.0,0.0,0.0,0.0,0.0,0.0034139466006308794,7.24220517440699e-05
17,7,-0.0279824007302522,-0.0701327174901962,0.0,0.0,0.0,0.0,0.0,0.0,0.00263573438860476,0.0
18,0,-0.0320868976414203,-0.0821817517280578,0.0,0.0,0.0,0.0,0.0,0.0,0.007038092240691185,0.0037644747644662857
19,0,-0.0265758000314235,-0.06118780747056,0.0,0.0,0.0,0.0,0.0,0.0,0.006874258164316416,0.0036447541788220406
20,0,-0.0164074543863534,-0.0497154556214809,0.0,0.0,0.0,0.0,0.0,0.0,0.004301161039620638,0.002381020924076438
21,0,-0.0266847014427185,-0.0251587778329849,0.0,0.0,0.0,0.0,0.0,0.0,0.007557263597846031,0.005094287917017937
22,0,-0.0039961747825145,-0.0693680793046951,0.0,0.0,0.0,0.0,0.0,0.0,0.0005178839201107621,0.002060424769297242
23,0,-0.0177832227200269,-0.0231558606028556,0.0,0.0,0.0,0.0,0.0,0.00019332377996761352,0.00412759417667985,0.006271141581237316
24,0,-0.0094548929482698,-0.0632813051342964,0.0,0.0,0.0,0.0,0.0,0.0,0.004487871192395687,0.002315239515155554
25,0,-0.019105240702629,-0.0642215311527252,0.0,0.0,0.0,0.0,0.0,0.0,0.001891322317533195,0.00248464266769588
26,0,-0.011372884735465,-0.0418535992503166,0.0,0.0,0.0,0.0,0.0,0.0,0.0007531269220635295,0.0025538138579577208
27,7,-0.0020898841321468,-0.0491125434637069,0.0,0.0,0.0,0.0,0.0,0.00021404330618679523,0.002755437046289444,0.0023317686282098293
28,7,-0.0268023293465375,-0.0486367084085941,0.0,0.0,0.0,0.0,0.0,0.0006951880641281605,0.005454533267766237,0.001701625413261354
29,0,-0.018021261319518,-0.0274814739823341,0.0,0.0,0.0,0.0,0.0,0.0010115322656929493,0.0038218144327402115,0.001939796726219356
30,7,-0.0380100756883621,-0.0606843940913677,0.0,0.0,0.0,0.0,0.0,0.0010395183926448226,0.008334738202393055,0.0
31,0,-0.0327817350625991,-0.0556440763175487,0.0,0.0,0.0,0.0,0.0,0.0,0.0013948756968602538,0.0026566102169454098
32,0,-0.0155930649489164,-0.0795334056019783,0.0,0.0,0.0,0.0,0.0,0.0,0.0008411055314354599,0.00014229722728487104
33,7,-0.0159302446991205,-0.0565569251775741,0.0,0.0,0.0,0.0,0.0,0.001685445779003203,0.0036643999628722668,0.00205951533280313
34,7,-0.0344417802989482,-0.0826631784439086,0.0,0.0,0.0,0.0,0.0,0.0,0.0007057709153741598,0.0004056589677929878
35,0,-0.0235540308058261,-0.0828371867537498,0.0,0.0,0.0,0.0,0.0,0.001123720547184348,0.0034343504812568426,0.0016407212242484093
36,0,-0.0225203558802604,-0.053361102938652,0.0,0.0,0.0,0.0,0.0,0.0022679613903164864,0.00481470488011837,0.0025497893802821636
37,7,-0.0120886024087667,-0.0597699545323848,0.0,0.0,0.0,0.0,0.0,0.0,0.0008917059167288244,0.0
38,0,-0.0381252877414226,-0.0567999444901943,0.0,0.0,0.0,0.0,0.0,0.0,0.0004526293487288058,0.0
39,7,-0.0177763514220714,-0.0694852247834205,0.0,0.0,0.0,0.0,0.0,0.00149607437197119,0.005053027532994747,0.0015978699084371328
